filename,width,height,class,xmin,ymin,xmax,ymax,path
#rainbowtrout/2021-03-11_02-54-49_UTC_8.jpg,1080,1080,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-19-52_UTC_3.jpg,1440,1113,#rainbowtrout,0.0,641.83,1477.1134020618558,452.62,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-19-52_UTC_2.jpg,1440,1115,#rainbowtrout,0.0,442.28333333333336,1371.1627906976744,460.8666666666667,data/#rainbowtrout
#rainbowtrout/2021-03-11_01-48-10_UTC.jpg,1440,1573,#rainbowtrout,0.0,529.5766666666666,1660.7299270072992,519.09,data/#rainbowtrout
#rainbowtrout/2021-03-11_01-46-20_UTC_1.jpg,1440,1800,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_01-41-29_UTC.jpg,1440,1194,#rainbowtrout,548.4764542936289,330.34,315.1246537396122,386.06,data/#rainbowtrout
#rainbowtrout/2021-03-11_01-55-20_UTC.jpg,1440,1081,#rainbowtrout,95.6390977443609,536.8966666666666,985.2631578947368,331.50666666666666,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_7.jpg,1440,1440,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_6.jpg,1440,1439,#rainbowtrout,86.39999999999999,637.9566666666667,1123.2,393.3266666666667,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-19-52_UTC_7.jpg,1440,1117,#rainbowtrout,0.0,647.86,895.3367875647668,495.2033333333333,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-22-19_UTC.jpg,750,750,#rainbowtrout,100.0,392.5,290.0,180.0,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-11-53_UTC.jpg,1440,1285,#rainbowtrout,0.0,514.0,1748.5714285714284,616.8,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_5.jpg,1440,1439,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_4.jpg,1440,1440,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-19-52_UTC_6.jpg,1440,1117,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-27-38_UTC_1.jpg,1080,1080,#rainbowtrout,28.8,626.4,734.4,370.8,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-19-52_UTC_1.jpg,1440,1115,#rainbowtrout,0.0,524.0500000000001,1639.0697674418604,371.6666666666667,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-33-55_UTC.jpg,1440,794,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_10.jpg,1440,1440,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-50-52_UTC.jpg,1440,1440,#rainbowtrout,,,,,data/#rainbowtrout
#rainbowtrout/2021-03-11_02-32-35_UTC_2.jpg,1440,1439,#rainbowtrout,,,,,data/#rainbowtrout
